cycle,o_word
1583,3.8125
1584,4
1585,0
1586,0
1587,0
1588,7.9375
1589,-8
1590,0.0625
1591,0
1592,0.0625
1593,0
1594,-0.0625
1595,0
1596,5.6875
1597,5.875
1598,6
1599,6.125
1600,6.3125
1601,0
1602,0
1603,0
1604,7.9375
1605,-8
1606,0.0625
1607,0
1608,0.0625
1609,0
1610,-0.0625
1611,0
1612,-8
1613,-7.8125
1614,-7.6875
1615,-7.5625
1616,-7.375
1617,0
1618,0
1619,0
1620,7.9375
1621,-8
1622,0.0625
1623,0
1624,0.0625
1625,0
1626,-0.0625
1627,0
1628,-5.6875
1629,-5.5
1630,-5.375
1631,-5.25
1632,-5.0625
1633,0
1634,0
1635,0
1636,7.9375
1637,-8
1638,0.0625
1639,0
1640,0.0625
1641,0
1642,-0.0625
1643,0
1644,-3.375
1645,-3.1875
1646,-3.0625
1647,-2.9375
1648,-2.75
1649,0
1650,0
1651,0
1652,7.9375
1653,-8
1654,0.0625
1655,0
1656,0.0625
1657,0
1658,-0.0625
1659,0
1660,-1.0625
1661,-0.875
1662,-0.75
1663,-0.625
1664,-0.4375
1665,0
1666,0
1667,0
1668,7.9375
1669,-8
1670,0.0625
1671,0
1672,0.0625
1673,0
1674,-0.0625
1675,0
1676,1.25
1677,1.4375
1678,1.5625
1679,1.6875
1680,1.875
1681,0
1682,0
1683,0
1684,7.9375
1685,-8
1686,0.0625
1687,0
1688,0.0625
1689,0
1690,-0.0625
1691,0
1692,3.5625
1693,3.75
1694,3.875
1695,4
1696,4.1875
1697,0
1698,0
1699,0
1700,7.9375
1701,-8
1702,0.0625
1703,0
1704,0.0625
1705,0
1706,-0.0625
1707,0
1708,5.875
1709,6.0625
1710,6.1875
1711,6.3125
1712,6.5
1713,0
1714,0
1715,0
1716,7.9375
1717,-8
1718,0.0625
1719,0
1720,0.0625
1721,0
1722,-0.0625
1723,0
1724,-7.8125
1725,-7.625
1726,-7.5
1727,-7.375
1728,-7.1875
1729,0
1730,0
1731,0
1732,7.9375
1733,-8
1734,0.0625
1735,0
1736,0.0625
1737,0
1738,-0.0625
1739,0
1740,-5.5
1741,-5.3125
1742,-5.1875
1743,-5.0625
1744,-4.875
1745,0
1746,0
1747,0
1748,7.9375
1749,-8
1750,0.0625
1751,0
1752,0.0625
1753,0
1754,-0.0625
1755,0
1756,-3.1875
1757,-3
1758,-2.875
1759,-2.75
1760,-2.5625
1761,0
1762,0
1763,0
1764,7.9375
1765,-8
1766,0.0625
1767,0
1768,0.0625
1769,0
1770,-0.0625
1771,0
1772,-0.875
1773,-0.6875
1774,-0.5625
1775,-0.4375
1776,-0.25
1777,0
1778,0
1779,0
1780,7.9375
1781,-8
1782,0.0625
1783,0
1784,0.0625
1785,0
1786,-0.0625
1787,0
1788,1.4375
1789,1.625
1790,1.75
1791,1.875
1792,2.0625
1793,0
1794,0
1795,0
1796,7.9375
1797,-8
1798,0.0625
1799,0
1800,0.0625
1801,0
1802,-0.0625
1803,0
1804,3.75
1805,3.9375
1806,4.0625
1807,4.1875
1808,4.375
1809,0
1810,0
1811,0
1812,7.9375
1813,-8
1814,0.0625
1815,0
1816,0.0625
1817,0
1818,-0.0625
1819,0
1820,6.0625
1821,6.25
1822,6.375
1823,6.5
1824,6.6875
1825,0
1826,0
1827,0
1828,7.9375
1829,-8
1830,0.0625
1831,0
1832,0.0625
1833,0
1834,-0.0625
1835,0
1836,-7.625
1837,-7.4375
1838,-7.3125
1839,-7.1875
1840,-7
1841,0
1842,0
1843,0
1844,7.9375
1845,-8
1846,0.0625
1847,0
1848,0.0625
1849,0
1850,-0.0625
1851,0
1852,-5.3125
1853,-5.125
1854,-5
1855,-4.875
1856,-4.6875
1857,0
1858,0
1859,0
1860,7.9375
1861,-8
1862,0.0625
1863,0
1864,0.0625
1865,0
1866,-0.0625
1867,0
1868,-3
1869,-2.8125
1870,-2.6875
1871,-2.5625
